index_acm,index_dblp
106,1936
2366,893
2565,2005
1978,30
1582,30
1587,145
867,1216
1402,99
1787,1896
2088,1824
1458,1657
2132,847
289,192
1129,1108
2689,657
1911,1494
641,472
1668,1507
1635,1330
735,1339
2388,1833
314,1016
1547,170
2365,802
1620,685
1933,1145
351,531
296,595
2319,1854
1279,1294
969,580
1870,1210
1753,396
1187,1705
10,911
1100,16
2309,1553
366,1189
2638,1957
1779,1738
204,80
326,1534
2123,464
1510,1698
1515,581
1410,299
2432,1744
2020,753
1533,406
1625,1392
515,1554
26,1097
1883,640
708,1841
1323,653
2137,1809
1607,597
218,112
435,635
1637,476
2382,1347
565,1913
2421,521
1037,151
317,1030
1607,947
2242,1983
579,1444
2234,816
1795,1937
761,926
2304,1814
1901,377
853,1683
1279,1791
2108,1350
2015,893
1285,559
1806,1951
2248,835
1830,847
1308,1674
1372,383
219,1932
1402,33
1902,319
406,940
1006,1201
1281,911
1238,275
194,10
772,1973
1911,31
1606,1381
2367,1708
312,1170
1371,696
382,596
1801,923
1744,160
1813,1428
10,1892
1574,1671
40,2000
2511,1729
1788,1334
353,16
1669,1908
467,532
1022,296
110,1197
1876,1339
2747,1834
2363,905
2147,1021
312,486
1287,1065
2307,1683
2773,1190
2513,2017
2754,911
565,1834
2139,1052
2607,1157
1116,136
195,1254
2366,1216
1982,287
467,895
2695,1391
1801,360
145,1554
1659,950
945,146
594,1380
633,554
438,86
2019,475
113,1952
312,849
611,916
514,1249
1130,1481
2552,1096
1497,1948
2345,1520
2078,1405
3,1447
2525,175
1647,1892
1350,1605
1073,21
37,923
83,1039
155,390
743,1314
478,1797
2238,468
1290,1712
1281,1892
2265,2062
2738,525
2841,1175
819,1309
366,1741
169,409
412,1335
881,93
1836,1777
1607,1954
1507,784
428,1050
2864,4
2162,486
1410,622
23,1230
2182,1596
7,468
129,1168
2885,292
1851,1496
1138,1331
1412,1836
2830,1295
1613,1331
955,1331
1805,1501
84,2041
1780,919
781,922
2632,1135
820,2045
2314,1765
37,360
190,602
2567,898
435,369
433,1757
2162,849
596,997
2760,1707
2379,2015
2754,1892
1325,1291
2694,77
435,490
605,413
173,261
1645,1912
96,1475
1543,1864
2553,2023
2205,559
2710,1189
342,1881
2134,1258
1931,175
2515,1623
21,900
272,482
84,431
115,498
366,1312
1889,299
636,907
211,1145
290,1438
1711,643
1506,1931
1707,645
2644,969
1068,658
412,1027
681,663
2047,1652
484,1546
2893,397
1531,2001
939,140
2432,1170
152,1975
1929,61
799,1328
2051,1744
1580,846
2051,468
1834,1894
1409,964
2374,1121
2330,1280
1745,361
903,1506
2892,0
241,1508
2375,1817
2748,113
1272,972
2409,418
1285,911
1833,487
215,179
397,1913
9,1508
2827,1281
2032,552
285,1820
1739,973
827,1911
166,179
1558,669
1643,447
548,1412
2356,1551
2488,953
2770,1834
320,767
2575,1595
2114,217
1700,1368
191,2050
2778,1136
2732,1434
2419,974
297,1170
2370,789
577,1941
2324,1087
1753,1271
1051,1753
1479,1934
2611,1265
99,1306
195,1014
2165,1215
594,1248
213,2051
2047,176
189,152
1512,1680
473,1079
1238,653
620,1543
320,1022
1951,1757
1102,240
343,188
1045,1655
297,486
2076,1385
2136,1924
434,491
2116,1686
46,86
1961,351
940,299
2080,982
1722,1008
491,1375
181,1334
1437,997
1742,61
167,618
397,1834
2462,121
2608,175
357,220
2091,1871
2400,411
743,1195
297,849
1006,1834
2559,175
1915,2059
1285,1892
277,870
2614,2033
1253,893
1795,947
2710,1741
1234,385
1803,542
1541,1296
2310,1807
1838,536
2841,1177
2536,1066
165,292
2367,1294
1642,2021
1151,737
2747,468
1288,742
420,932
1896,2059
1846,252
1436,1027
1856,152
1811,904
565,468
1919,1898
2,1294
2753,1306
1562,843
307,1112
1125,1744
2775,543
2626,420
313,1048
962,1228
2145,1544
432,1413
1770,620
2852,359
2427,1149
1566,561
1187,649
2497,2009
2156,1679
2452,280
2842,960
1789,1922
1376,292
2162,1201
1231,1860
417,1118
2400,1258
717,363
2284,1083
2233,2020
576,1821
89,1962
2112,1501
990,643
2750,1263
1096,1298
2813,1319
2205,911
961,1110
439,1937
2710,1312
1314,1871
1830,475
1179,1188
473,208
2,1791
1146,193
399,444
1670,873
538,1542
2711,345
1995,175
4,1837
2459,804
903,1374
156,393
519,216
2246,696
2020,1107
1330,1892
1742,116
942,26
2566,1280
357,1093
1642,666
10,460
220,41
1882,355
390,452
19,1448
2364,1038
2371,1980
1631,1941
490,804
2682,1118
196,2020
447,1373
2490,1298
10,1749
2785,923
151,1230
962,1149
657,284
1438,620
2704,705
735,1143
1506,1020
466,460
2402,488
1096,1795
1061,1020
2540,1132
466,1749
1140,1434
940,622
2626,1293
24,2047
554,815
722,628
2836,1517
129,299
2579,1073
2218,542
2266,2010
1793,1332
1820,1206
2551,193
1647,460
2898,1176
47,731
2034,613
193,31
67,1878
2574,2018
182,367
2205,1892
438,64
1253,1216
2564,2010
189,33
1405,1
2138,1609
1647,1749
876,411
2564,963
2842,1136
1842,1961
390,1191
2272,1020
2308,448
866,891
2679,620
2859,1490
1038,594
1460,997
450,1363
2364,1898
1638,1757
2726,2021
454,960
2398,1401
2840,322
2399,808
2435,502
2645,2032
2194,1113
962,612
2682,113
2788,1034
1492,548
585,1012
246,1317
1944,1288
2238,1506
877,137
1281,486
692,91
1407,302
305,1079
2770,468
1116,1671
2754,1170
1279,911
312,1913
614,1955
1495,1475
2499,1294
1259,151
2563,1171
1663,1143
1281,849
1520,1131
2287,1532
2686,1241
2378,896
1925,133
2623,175
1447,737
259,1740
417,636
1715,673
1906,1961
2604,2003
1228,1494
1699,1079
340,1291
2754,486
2217,776
1212,1220
1831,969
241,531
46,1753
2432,1374
2882,119
437,591
1342,1451
1388,1338
2196,1777
214,24
9,531
1466,1379
626,1402
2844,1705
1049,1993
37,1761
2726,666
1685,928
339,1079
449,1476
815,1947
2754,849
2573,2006
2726,1016
1512,340
1006,468
2231,1976
2248,1391
2419,226
1068,299
2673,2065
2685,1136
642,1359
547,304
2369,1802
2766,1209
664,2057
1371,421
204,86
481,852
312,1834
2037,1221
600,1254
1694,64
2400,455
454,1136
497,1772
2207,814
1528,1694
2051,1506
2013,985
1279,1892
2397,1096
1764,1183
1637,590
1370,246
2395,1171
92,1026
1649,1058
629,736
2410,927
206,1047
2365,1413
2327,892
107,516
318,965
367,857
206,1168
2389,696
2482,887
365,932
1187,1269
187,1047
2774,133
2885,351
1794,1021
187,1168
1649,145
389,1797
1182,1433
2137,1131
2238,1708
662,643
194,245
2162,1834
1563,980
1747,508
1339,225
2438,1594
7,1708
1925,1719
1350,993
2648,1296
2083,1258
1787,213
2360,1832
2427,1327
1267,177
61,2065
1267,1345
1305,1637
2796,1315
20,721
2052,1800
1837,451
1049,893
1444,1688
1478,747
339,208
10,1201
2018,1923
1412,164
1651,180
2,559
903,1189
72,1032
2849,1033
2432,1913
2105,1555
314,1319
186,1319
103,1779
1454,16
46,1016
2529,799
723,706
439,947
1531,879
13,1778
2330,2023
2177,761
2008,1972
2531,2013
1144,1638
883,321
96,1897
466,1201
2218,920
1096,550
1285,486
2609,1973
2079,1515
1313,1716
1607,1934
1375,379
2126,1038
1075,612
2351,1156
2640,993
34,2079
2644,920
1904,1110
933,155
2142,1167
2300,63
2747,1506
1124,891
569,1046
481,933
1697,901
372,209
2602,1798
594,810
1151,1896
590,1105
2829,1171
1285,849
2639,1047
1932,1185
1214,905
1353,1249
267,802
1647,1201
1401,1963
297,1913
5,1704
2639,1168
1125,1506
932,1340
2841,1302
1402,1491
1973,31
1281,1201
2354,891
631,567
2215,732
1371,2033
2043,1379
1876,219
2722,1179
1330,460
2880,75
629,349
689,400
842,642
885,2032
2032,1900
2510,478
867,177
562,1527
1552,1677
867,1345
1312,1466
1330,1749
1977,2085
1453,2085
2883,615
1661,802
848,1453
2620,1144
498,1074
935,1866
2379,974
2051,1374
1036,642
2154,2024
1402,699
2026,792
129,840
473,1138
158,2066
2890,2065
2126,1898
2063,566
2769,728
1036,1931
2583,2029
2132,1339
296,1892
1586,348
1801,1468
2007,1573
2717,1211
688,1598
2536,870
1844,1057
2024,1927
2016,1514
1078,1002
2131,1989
2258,1047
2132,642
297,1834
1866,1462
2203,64
2707,2041
466,559
1877,308
2587,175
2303,416
2258,1168
577,1329
1740,10
1400,90
2427,1879
2407,594
1328,1355
497,969
2484,1982
903,1741
165,351
1014,791
370,460
2186,194
226,223
2019,1020
1194,385
215,64
1718,1028
2130,1238
1810,1785
1888,658
537,465
1724,1489
204,1753
2707,431
2205,486
312,468
222,1248
2747,1708
37,1468
1996,1251
2262,1370
2441,1372
1648,918
2281,336
565,1708
988,1811
468,2041
654,245
1974,41
275,599
1894,277
2782,739
1376,351
624,487
1299,1565
2142,793
2367,911
2205,849
385,1898
2191,914
2566,2023
1993,175
2829,568
2553,1387
2083,455
115,1377
2024,1043
1917,688
291,556
2142,806
903,1312
841,1602
2006,881
2395,1107
353,737
1853,6
2833,1683
407,973
2878,702
2776,920
468,431
1638,1774
316,1794
452,1389
2162,468
235,637
594,1738
1318,1015
1791,1235
1125,1374
2790,1205
1644,1710
866,1379
946,96
2484,869
2704,643
366,460
445,1507
2002,1539
2141,1819
680,1495
1447,1896
1181,730
1629,597
366,1749
206,299
1139,1901
2273,1830
487,1746
751,1267
2133,1069
467,1508
207,120
1836,2014
1965,667
514,802
438,1975
1854,836
925,1339
1895,608
663,107
415,1991
2183,1011
878,705
1557,505
187,299
2291,958
503,1996
2822,365
2844,649
1822,924
1304,1981
1479,1982
941,357
1631,1329
2367,1892
1006,1506
440,600
801,2040
68,1896
1401,234
1094,1740
1694,981
713,2048
2392,1548
2395,1028
2378,1384
2257,1094
865,2038
1087,653
1898,114
2195,337
204,1016
720,2064
1077,352
870,22
1957,1862
1279,486
1409,1993
2179,1682
575,1538
2548,1256
2840,610
1446,1013
1984,396
951,253
829,1310
1078,65
496,612
1728,1867
1749,125
1351,1018
2144,883
2476,1393
1574,1292
1911,123
2253,1055
2050,238
305,1138
2781,1211
1279,849
1795,1934
2811,1319
366,1791
2730,1919
1140,956
36,869
2161,190
1281,1834
1330,1201
1176,734
834,970
2630,1284
1025,43
511,1219
153,1511
1624,308
2702,113
2741,1236
2400,943
2770,1708
896,1740
2900,1000
404,985
1802,206
2132,1020
210,72
2639,299
1699,1138
1479,869
2697,11
381,1122
386,1237
2521,1246
888,401
2365,1901
2757,1193
2250,1133
99,362
2051,1189
1831,920
2142,553
230,293
2615,736
2754,1834
1503,1091
479,768
297,468
2874,852
1867,735
2013,789
339,1138
2498,43
1694,1975
42,888
2293,2011
15,1428
2723,777
163,252
2279,1968
2072,177
1812,1041
1236,1339
2072,1345
919,127
2321,1268
397,1708
2116,1573
2379,226
1695,1745
380,492
1228,64
270,620
1409,893
2336,758
2532,175
2246,2033
2807,114
2027,1171
652,133
2851,157
223,1447
1964,2054
2210,1292
386,916
2264,1794
547,726
415,1738
2710,460
2272,234
2258,299
1954,827
1830,1020
2542,997
1587,481
2710,1749
861,754
1850,2059
1006,1374
507,1690
366,1751
4,1335
296,460
2171,774
1975,81
2312,898
634,576
919,974
2428,26
296,1749
2806,1177
1124,1379
2785,1468
2840,1175
1325,1288
454,766
411,1362
2699,152
1842,1780
969,1626
2082,449
2251,901
1924,506
2399,1553
691,305
849,891
1019,1339
2639,1427
2747,1189
1884,1494
189,1491
2011,1040
2203,981
2354,1379
2536,2029
1998,175
1825,927
389,367
329,87
1583,347
1125,1189
333,960
1100,607
1944,1228
99,1961
2434,863
603,1723
546,206
2128,1988
54,1437
441,1846
854,2015
1809,1713
2051,1741
1392,607
1665,1705
4,1027
2091,1813
2672,1270
10,1744
1175,1023
2375,754
80,527
1929,179
1285,1834
10,468
189,699
665,628
508,1095
1862,1293
1888,299
432,1221
2364,1167
1874,256
1538,270
466,1744
1197,1963
2189,496
2487,1358
1793,1435
1856,1491
1095,1807
2621,1065
464,220
434,462
631,747
499,1116
708,701
897,1391
934,1458
607,1063
1078,685
467,531
1884,31
1002,1040
1537,152
1647,1744
2350,440
206,840
1226,1458
1081,286
2051,1312
1158,240
2038,1787
425,1823
2066,802
2654,972
1587,804
2481,492
2046,1089
233,2003
1281,468
2203,1975
2149,921
187,840
1314,1813
2208,1501
2300,43
2006,1811
1723,705
2837,921
2162,1506
2726,1319
2744,1373
366,559
1068,831
426,1364
1166,908
2204,2038
222,810
2076,806
2367,460
1498,1768
1742,179
81,1450
433,1380
1883,10
2633,996
1700,1057
2154,473
738,151
2747,1741
2389,2033
2754,468
487,1737
2083,943
200,1155
2,1170
1659,1554
487,1858
609,572
385,1810
66,1047
215,123
464,1093
2422,237
319,180
1814,1320
2366,2062
2436,549
1125,1741
66,1168
2163,427
82,883
159,349
938,50
1817,1187
1916,671
435,368
2702,533
200,471
2,486
1710,687
2579,1136
2322,1480
1460,1973
2840,1177
2518,1126
421,820
2613,1134
2205,1834
1921,89
2346,790
2017,551
2196,2014
1950,561
410,1893
2693,605
351,532
2367,849
660,55
1537,99
16,1710
805,1870
1402,1860
1588,64
2104,1378
312,1708
214,382
1783,276
1480,238
1202,1691
2652,136
267,1413
439,1934
471,425
2580,1199
2,849
2636,2033
2233,1091
2747,1312
2749,1910
2877,375
2364,793
2341,1038
1016,2066
351,895
2474,1567
1910,707
2142,1215
1537,354
2765,1608
2192,1746
2092,576
659,85
46,1319
1125,1312
259,151
2112,1982
296,1201
2498,705
1922,20
1761,597
1661,1413
1740,245
2338,874
318,852
1006,1189
1267,964
114,527
2404,181
2251,582
1864,1893
2015,2062
2637,1291
1140,1310
1326,268
2120,772
1397,148
1509,389
812,1215
2162,1708
1435,1837
2484,1170
204,1975
1716,315
481,1236
2225,1360
1897,1494
2733,1766
608,230
2701,13
453,1524
2110,1494
267,876
2071,785
968,923
466,1170
1537,33
2615,2016
53,1711
1904,1668
2784,1192
631,991
2010,458
1614,1690
1399,341
1285,468
800,1473
1069,1109
2315,461
1748,350
2508,2024
2365,1221
1071,2057
1661,876
7,911
433,1248
1164,1467
1799,517
1151,481
222,1738
953,1957
2652,1143
2710,559
1893,71
2414,1500
2844,1313
2112,869
1649,879
515,913
1279,1834
308,1374
1911,61
1209,1775
909,22
1681,538
2861,620
1659,1422
2438,931
867,964
2549,1930
2180,1575
2718,921
586,1853
2487,234
2584,1106
116,399
501,210
1471,1199
2496,175
2126,1167
2647,344
1454,737
1897,31
1466,1013
29,1046
1856,609
2422,1286
1503,1016
176,692
2765,642
1904,542
1761,1954
1028,642
330,1509
1954,1302
2759,1995
2625,194
1613,1911
1984,134
1694,2021
1666,1959
2089,564
716,124
1330,1744
2080,781
314,80
1387,265
2013,956
129,1761
611,1764
423,481
1185,2036
971,1518
1339,1685
418,588
2240,854
1006,1741
1333,1870
1353,802
2590,1152
41,1769
2696,2073
2706,546
2149,857
7,1892
2364,553
1899,453
2367,1201
662,22
2837,857
211,1254
2038,1147
2672,1958
297,1708
9,1012
1788,1874
514,1413
1550,16
2613,1499
515,1786
2311,868
216,672
1096,721
1228,123
10,1506
1665,649
145,913
2615,1171
2415,817
61,1444
2380,1799
2037,642
849,1379
370,1381
2029,1168
2445,63
2703,358
1951,1248
2201,871
2519,1180
2037,1931
961,1943
2752,1913
2205,468
925,219
2152,1130
1006,1312
1694,666
682,168
1573,376
2394,1013
903,1749
206,360
1470,2062
1638,1380
1728,263
1201,746
1647,1506
1141,1863
1712,440
2140,850
2864,652
66,299
1373,156
1354,1634
507,944
85,1480
2232,560
2626,487
210,428
1319,2027
1281,1506
785,1339
2362,791
153,2001
454,1175
1801,1168
2867,145
2353,863
2416,1148
418,885
2459,737
186,498
2083,1618
612,606
2126,793
68,213
2474,456
782,1956
417,1306
85,567
2134,1327
1136,993
930,2056
193,743
1863,1443
280,1193
490,737
1795,1982
1447,481
609,1368
2856,386
1956,358
2754,1506
2734,810
423,804
2031,1296
2168,1567
2639,923
853,802
903,1791
2890,1444
2213,936
1123,784
519,1801
2301,2
1253,2062
327,813
366,1744
1479,796
1568,87
1884,64
169,412
1335,1313
396,805
2361,891
1037,1740
1503,1018
2485,819
2842,827
1467,1738
2358,485
2683,2002
1872,740
1588,981
429,1224
2427,1258
11,1236
2270,786
2639,360
1538,342
2133,488
2162,1189
1446,753
1198,1442
2325,429
1961,152
1757,2079
1977,2082
2833,1249
1515,1499
1279,468
408,1407
2745,907
505,64
2203,2021
1783,1435
1036,1915
2863,2067
538,1409
211,1014
1625,1263
622,585
200,367
1134,1928
2307,802
10,1374
417,1240
565,1892
2244,867
84,542
1723,643
66,1427
485,593
2887,680
1539,4
2258,923
650,1074
657,2016
1795,869
2533,2030
2192,1737
2901,736
466,1374
2192,1858
2,1913
2149,993
1132,417
2159,1681
385,1385
1235,249
2265,1060
960,1478
189,1860
2188,1042
2186,1935
1929,64
1662,703
2783,1107
1506,1358
2748,103
1401,847
2432,1294
1071,154
2526,175
925,1497
1701,1718
2258,360
378,577
1647,1374
2732,135
495,344
2556,175
2172,185
2134,1879
2072,964
2846,358
1982,24
1927,88
1281,1374
2203,666
367,1219
2754,1708
1036,1728
1588,1975
1579,142
1019,219
2367,1834
1739,279
1849,676
1285,1506
982,44
1961,99
1977,43
333,766
838,938
2126,553
2432,1791
2,1834
1526,1460
1856,1860
225,78
2819,372
609,418
70,1308
2352,1515
2221,803
1520,1106
2165,1810
2162,1741
1232,824
2498,643
2238,460
2025,581
1992,175
543,1137
502,1099
1828,1464
2364,1215
803,1212
870,219
329,1558
2238,1749
2267,235
1625,997
2196,1752
1570,832
7,460
2710,1744
1987,1349
36,932
397,911
1008,799
1883,245
1325,1149
466,1913
215,116
1114,148
42,1622
2849,711
7,1749
2673,1690
828,171
678,641
433,810
1888,831
2385,1408
296,1744
1330,1506
2778,1073
743,1911
812,1516
2770,1892
366,1170
2646,136
1051,1798
1961,33
2884,129
2256,1792
1436,1501
1647,1913
2162,1312
2418,780
2295,1841
1512,1617
1742,2079
1611,1330
241,895
1342,647
366,486
719,604
400,1827
752,1232
1798,1048
1846,2028
1801,299
9,895
184,603
2068,764
2336,1976
2489,794
775,253
1437,1392
940,357
2108,1102
287,206
723,1002
1285,1708
